sim gen PatchID env.qual K succrate ExpOff Nadult Nimmat Nsuc Nfail Njuv NpreDisp NDisp Nstay Nimmigr Nadfinal Nimmatfin
0 8000 19 0.0256612 102.566 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 8000 20 0.611303 161.13 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 8000 21 1.08101 208.101 0.685279 1.0274 197 237 135 62 232 196 47 149 54 203 276 
0 8000 22 -0.580271 41.9729 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 8000 23 1.03319 203.319 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 8000 24 1.61602 261.602 0.668224 1.10009 214 318 143 71 241 222 51 171 47 218 324 
0 9000 0 -1.21179 0 0 0 76 110 0 76 0 83 38 45 0 45 57 
0 9000 1 0.190788 119.079 0.598485 0.948538 132 138 79 53 133 127 30 97 59 156 168 
0 9000 2 -0.519659 48.0341 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 9000 3 -1.20146 0 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 9000 4 0.576151 157.615 0.672619 0.968107 168 228 113 55 189 174 34 140 68 208 239 
0 9000 5 -0.20515 79.485 0.437086 0.68972 151 195 66 85 100 156 52 104 46 150 176 
0 9000 6 -0.362495 63.7505 0.4 0.6755 125 131 50 75 73 131 38 93 51 144 115 
0 9000 7 -0.927254 7.27459 0.111842 0.0913465 152 186 17 135 17 152 71 81 11 92 115 
0 9000 8 1.67628 267.628 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 9000 9 0.88428 188.428 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 9000 10 -0.40054 59.946 0.419118 0.611863 136 135 57 79 78 135 44 91 63 154 134 
0 9000 11 1.29879 229.879 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 9000 12 0.567984 156.798 0.609589 1.03566 146 170 89 57 136 146 36 110 73 183 190 
0 9000 13 1.61961 261.961 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 9000 14 0.160956 116.096 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 9000 15 -1.35489 0 0 0 96 62 0 96 0 92 48 44 0 44 35 
0 9000 16 1.06348 206.348 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 9000 17 -0.260218 73.9782 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 9000 18 -1.00023 0 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 9000 19 2.17069 317.069 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 9000 20 -0.540482 45.9518 0.385246 0.547203 122 64 47 75 58 109 36 73 42 115 69 
0 9000 21 0.344574 134.457 0.585366 0.901016 164 218 96 68 140 156 41 115 57 172 201 
0 9000 22 0.766921 176.692 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 9000 23 0.354729 135.473 0.553398 0.793462 206 229 114 92 177 197 66 131 64 195 240 
0 9000 24 -0.954727 4.52733 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 10000 0 -0.0920435 90.7957 0.533333 0.709908 165 183 88 77 132 177 51 126 29 155 175 
0 10000 1 -1.34034 0 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 10000 2 1.17222 217.222 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 10000 3 -0.304487 69.5513 0.578313 0.911841 83 89 48 35 73 92 25 67 52 119 84 
0 10000 4 -1.4555 0 0 0 5 6 0 5 0 7 3 4 0 4 3 
0 10000 5 -1.00032 0 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 10000 6 1.38781 238.781 0.621514 0.975052 251 301 156 95 239 262 67 195 50 245 328 
0 10000 7 -1.44387 0 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 10000 8 -0.745144 25.4855 0.265957 0.238757 188 230 50 138 54 193 76 117 24 141 179 
0 10000 9 0.0711054 107.111 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 10000 10 -1.18766 0 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 10000 11 -0.0344932 96.5507 0.612613 0.930382 111 48 68 43 111 93 19 74 71 145 103 
0 10000 12 -0.445942 55.4058 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 10000 13 -0.333556 66.6444 0.398496 0.667631 133 140 53 80 79 136 48 88 44 132 128 
0 10000 14 0.0260132 102.601 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 10000 15 0.060398 106.04 0.610169 0.749292 177 198 108 69 146 176 39 137 51 188 207 
0 10000 16 1.23668 223.668 0.628019 1.0387 207 265 130 77 203 225 69 156 55 211 273 
0 10000 17 -0.353176 64.6824 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 10000 18 0.575536 157.554 0.66092 0.950396 174 200 115 59 176 183 47 136 66 202 218 
0 10000 19 1.18093 218.093 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 10000 20 -2.37613 0 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 10000 21 1.08093 208.093 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 10000 22 0.280486 128.049 0.55 0.831353 180 187 99 81 145 176 59 117 51 168 201 
0 10000 23 2.30229 330.229 0.665138 1.20471 218 288 145 73 247 241 56 185 66 251 310 
0 10000 24 1.24195 224.195 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 11000 0 0.353375 135.338 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 11000 1 0.573529 157.353 0.644444 1.07646 135 179 87 48 140 142 40 102 63 165 185 
0 11000 2 1.36559 236.559 0.615741 1.04543 216 353 133 83 211 222 59 163 74 237 311 
0 11000 3 1.29399 229.399 0.72956 1.18126 159 181 116 43 203 163 39 124 75 199 233 
0 11000 4 -0.00106475 99.8935 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 11000 5 1.15502 215.502 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 11000 6 -0.647046 35.2954 0.298611 0.393713 144 152 43 101 51 139 46 93 24 117 117 
0 11000 7 -0.831176 16.8824 0.192547 0.189816 161 213 31 130 33 168 82 86 25 111 147 
0 11000 8 -1.39095 0 0 0 118 127 0 118 0 125 47 78 0 78 79 
0 11000 9 -1.36898 0 0 -999 0 0 0 0 0 0 0 0 0 0 0 
0 11000 10 0.481769 148.177 0.557576 0.946283 165 229 92 73 144 170 54 116 54 170 222 
0 11000 11 0.930831 193.083 0.666667 1.1559 141 225 94 47 166 149 52 97 50 147 235 
0 11000 12 0.3279 132.79 0 -999 0 0 0 0 0 0 0 0 0 0 0 
